security,date,close,volume
POWERINDIA,"Nov 04, 2021","2,315.60","9,593"
POWERINDIA,"Nov 03, 2021","2,284.55","93,948"
POWERINDIA,"Nov 02, 2021","2,209.65","35,569"
POWERINDIA,"Nov 01, 2021","2,170.50","40,225"
POWERINDIA,"Oct 29, 2021","2,212.60","37,661"
POWERINDIA,"Oct 28, 2021","2,249.20","27,648"
POWERINDIA,"Oct 27, 2021","2,290.75","25,498"
POWERINDIA,"Oct 26, 2021","2,342.85","45,123"
POWERINDIA,"Oct 25, 2021","2,280.45","66,132"
POWERINDIA,"Oct 22, 2021","2,438.90","32,108"
POWERINDIA,"Oct 21, 2021","2,480.40","28,221"
POWERINDIA,"Oct 20, 2021","2,494.60","41,164"
POWERINDIA,"Oct 19, 2021","2,551.50","47,197"
POWERINDIA,"Oct 18, 2021","2,664.60","105,957"
POWERINDIA,"Oct 14, 2021","2,618.40","259,377"
POWERINDIA,"Oct 13, 2021","2,461.75","45,871"
POWERINDIA,"Oct 12, 2021","2,459.80","37,345"
POWERINDIA,"Oct 11, 2021","2,415.40","50,645"
POWERINDIA,"Oct 08, 2021","2,365.30","25,648"
POWERINDIA,"Oct 07, 2021","2,400.70","16,107"
POWERINDIA,"Oct 06, 2021","2,373.90","20,417"
POWERINDIA,"Oct 05, 2021","2,431.90","38,936"
POWERINDIA,"Oct 04, 2021","2,480.40","49,748"
POWERINDIA,"Oct 01, 2021","2,453.15","44,597"
POWERINDIA,"Sep 30, 2021","2,438.80","70,378"
POWERINDIA,"Sep 29, 2021","2,410.35","425,566"
POWERINDIA,"Sep 28, 2021","2,300.75","18,872"
POWERINDIA,"Sep 27, 2021","2,300.40","11,469"
POWERINDIA,"Sep 24, 2021","2,310.85","20,697"
POWERINDIA,"Sep 23, 2021","2,381.65","38,001"
POWERINDIA,"Sep 22, 2021","2,329.30","14,702"
POWERINDIA,"Sep 21, 2021","2,350.75","33,542"
POWERINDIA,"Sep 20, 2021","2,307.25","32,522"
POWERINDIA,"Sep 17, 2021","2,408.80","37,659"
POWERINDIA,"Sep 16, 2021","2,382.90","27,766"
POWERINDIA,"Sep 15, 2021","2,436.00","52,175"
POWERINDIA,"Sep 14, 2021","2,389.90","91,715"
POWERINDIA,"Sep 13, 2021","2,326.30","20,139"
POWERINDIA,"Sep 09, 2021","2,325.70","13,031"
POWERINDIA,"Sep 08, 2021","2,325.65","21,200"
POWERINDIA,"Sep 07, 2021","2,352.10","39,507"
POWERINDIA,"Sep 06, 2021","2,414.95","50,031"
POWERINDIA,"Sep 03, 2021","2,430.65","56,506"
POWERINDIA,"Sep 02, 2021","2,380.35","174,956"
POWERINDIA,"Sep 01, 2021","2,410.50","317,518"
POWERINDIA,"Aug 31, 2021","2,136.65","41,082"
POWERINDIA,"Aug 30, 2021","2,186.85","98,090"
POWERINDIA,"Aug 27, 2021","2,224.80","193,659"
POWERINDIA,"Aug 26, 2021","2,159.40","552,638"
POWERINDIA,"Aug 25, 2021","1,959.70","89,774"
POWERINDIA,"Aug 24, 2021","1,849.95","37,859"
POWERINDIA,"Aug 23, 2021","1,808.05","58,689"
POWERINDIA,"Aug 20, 2021","1,817.40","52,665"
POWERINDIA,"Aug 18, 2021","1,819.50","87,409"
POWERINDIA,"Aug 17, 2021","1,876.10","87,364"
POWERINDIA,"Aug 16, 2021","1,778.50","33,297"
POWERINDIA,"Aug 13, 2021","1,798.25","26,315"
POWERINDIA,"Aug 12, 2021","1,798.95","29,096"
POWERINDIA,"Aug 11, 2021","1,796.65","53,497"
POWERINDIA,"Aug 10, 2021","1,844.60","34,864"
POWERINDIA,"Aug 09, 2021","1,914.10","26,952"
POWERINDIA,"Aug 06, 2021","1,963.10","12,810"
POWERINDIA,"Aug 05, 2021","1,953.45","17,230"
POWERINDIA,"Aug 04, 2021","1,972.60","47,255"
POWERINDIA,"Aug 03, 2021","2,016.85","219,026"
POWERINDIA,"Aug 02, 2021","1,936.45","37,335"
POWERINDIA,"Jul 30, 2021","1,925.60","37,292"
POWERINDIA,"Jul 29, 2021","1,912.60","38,879"
POWERINDIA,"Jul 28, 2021","1,926.75","16,881"
POWERINDIA,"Jul 27, 2021","1,925.15","41,068"
POWERINDIA,"Jul 26, 2021","1,926.30","136,463"
POWERINDIA,"Jul 23, 2021","1,871.40","27,905"
POWERINDIA,"Jul 22, 2021","1,926.35","15,926"
POWERINDIA,"Jul 20, 2021","1,925.15","21,044"
ABB,"Nov 04, 2021","2,105.65","42,743"
POWERINDIA,"Jul 19, 2021","1,924.95","34,804"
POWERINDIA,"Jul 16, 2021","1,916.00","39,116"
POWERINDIA,"Jul 15, 2021","1,923.40","28,600"
POWERINDIA,"Jul 14, 2021","1,914.40","23,306"
POWERINDIA,"Jul 13, 2021","1,912.30","17,043"
POWERINDIA,"Jul 12, 2021","1,924.25","90,881"
POWERINDIA,"Jul 09, 2021","1,922.80","43,400"
POWERINDIA,"Jul 08, 2021","1,921.70","59,750"
POWERINDIA,"Jul 07, 2021","1,892.40","27,225"
POWERINDIA,"Jul 06, 2021","1,897.45","14,643"
POWERINDIA,"Jul 05, 2021","1,914.75","35,464"
POWERINDIA,"Jul 02, 2021","1,874.55","20,354"
POWERINDIA,"Jul 01, 2021","1,897.25","39,031"
POWERINDIA,"Jun 30, 2021","1,890.35","187,976"
POWERINDIA,"Jun 29, 2021","1,805.90","7,422"
POWERINDIA,"Jun 28, 2021","1,823.00","13,059"
POWERINDIA,"Jun 25, 2021","1,818.15","13,339"
POWERINDIA,"Jun 24, 2021","1,823.20","33,586"
POWERINDIA,"Jun 23, 2021","1,818.35","64,768"
POWERINDIA,"Jun 22, 2021","1,847.15","11,221"
POWERINDIA,"Jun 21, 2021","1,844.40","40,778"
ABB,"Nov 03, 2021","2,068.95","385,323"
ABB,"Nov 02, 2021","2,062.45","118,552"
ABB,"Nov 01, 2021","2,079.70","485,302"
ABB,"Oct 29, 2021","2,119.90","960,349"
ABB,"Oct 28, 2021","1,983.65","1,355,503"
ABB,"Oct 27, 2021","1,879.70","529,236"
ABB,"Oct 26, 2021","1,845.60","206,780"
ABB,"Oct 25, 2021","1,850.20","335,087"
ABB,"Oct 22, 2021","1,909.30","338,028"
ABB,"Oct 21, 2021","1,875.00","114,209"
ABB,"Oct 20, 2021","1,830.25","93,490"
ABB,"Oct 19, 2021","1,846.25","93,823"
ABB,"Oct 18, 2021","1,829.50","92,011"
ABB,"Oct 14, 2021","1,819.00","92,662"
ABB,"Oct 13, 2021","1,806.85","132,820"
POWERINDIA,"Jun 18, 2021","1,818.80","16,696"
POWERINDIA,"Jun 17, 2021","1,797.65","13,776"
POWERINDIA,"Jun 16, 2021","1,803.20","38,980"
POWERINDIA,"Jun 15, 2021","1,818.55","15,777"
POWERINDIA,"Jun 14, 2021","1,839.05","12,722"
ABB,"Oct 12, 2021","1,827.65","83,711"
