stock_id,start_date,end_date
3MINDIA,10-May-21,05-Nov-21
ABB,10-May-21,05-Nov-21
POWERINDIA,10-May-21,05-Nov-21
ACC,10-May-21,05-Nov-21
AIAENG,10-May-21,05-Nov-21
APLAPOLLO,10-May-21,05-Nov-21
AUBANK,10-May-21,05-Nov-21
AARTIDRUGS,10-May-21,05-Nov-21
AARTIIND,10-May-21,05-Nov-21
AAVAS,10-May-21,05-Nov-21
ABBOTINDIA,10-May-21,05-Nov-21
ADANIENT,10-May-21,05-Nov-21
ADANIGREEN,10-May-21,05-Nov-21
ADANIPORTS,10-May-21,05-Nov-21
ATGL,10-May-21,05-Nov-21
ADANITRANS,10-May-21,05-Nov-21
ABCAPITAL,10-May-21,05-Nov-21
ABFRL,10-May-21,05-Nov-21
ADVENZYMES,10-May-21,05-Nov-21
AEGISCHEM,10-May-21,05-Nov-21
AFFLE,10-May-21,05-Nov-21
AJANTPHARM,10-May-21,05-Nov-21
AKZOINDIA,10-May-21,05-Nov-21
ALEMBICLTD,10-May-21,05-Nov-21
APLLTD,10-May-21,05-Nov-21
ALKEM,10-May-21,05-Nov-21
ALKYLAMINE,10-May-21,05-Nov-21
ALOKINDS,10-May-21,05-Nov-21
AMARAJABAT,10-May-21,05-Nov-21
AMBER,10-May-21,05-Nov-21
AMBUJACEM,10-May-21,05-Nov-21
ANGELBRKG,10-May-21,05-Nov-21
APOLLOHOSP,10-May-21,05-Nov-21
APOLLOTYRE,10-May-21,05-Nov-21
ASAHIINDIA,10-May-21,05-Nov-21
ASHOKLEY,10-May-21,05-Nov-21
ASHOKA,10-May-21,05-Nov-21
ASIANPAINT,10-May-21,05-Nov-21
ASTERDM,10-May-21,05-Nov-21
ASTRAZEN,10-May-21,05-Nov-21
ASTRAL,10-May-21,05-Nov-21
ATUL,10-May-21,05-Nov-21
AUROPHARMA,10-May-21,05-Nov-21
AVANTIFEED,10-May-21,05-Nov-21
DMART,10-May-21,05-Nov-21
AXISBANK,10-May-21,05-Nov-21
BASF,10-May-21,05-Nov-21
BEML,10-May-21,05-Nov-21
BSE,10-May-21,05-Nov-21
BAJAJ-AUTO,10-May-21,05-Nov-21
BAJAJCON,10-May-21,05-Nov-21
BAJAJELEC,10-May-21,05-Nov-21
BAJFINANCE,10-May-21,05-Nov-21
BAJAJFINSV,10-May-21,05-Nov-21
BAJAJHLDNG,10-May-21,05-Nov-21
BALAMINES,10-May-21,05-Nov-21
BALKRISIND,10-May-21,05-Nov-21
BALMLAWRIE,10-May-21,05-Nov-21
BALRAMCHIN,10-May-21,05-Nov-21
BANDHANBNK,10-May-21,05-Nov-21
BANKBARODA,10-May-21,05-Nov-21
BANKINDIA,10-May-21,05-Nov-21
MAHABANK,10-May-21,05-Nov-21
BATAINDIA,10-May-21,05-Nov-21
BAYERCROP,10-May-21,05-Nov-21
BERGEPAINT,10-May-21,05-Nov-21
BDL,10-May-21,05-Nov-21
BEL,10-May-21,05-Nov-21
BHARATFORG,10-May-21,05-Nov-21
BHEL,10-May-21,05-Nov-21
BPCL,10-May-21,05-Nov-21
BHARATRAS,10-May-21,05-Nov-21
BHARTIARTL,10-May-21,05-Nov-21
BIOCON,10-May-21,05-Nov-21
BIRLACORPN,10-May-21,05-Nov-21
BSOFT,10-May-21,05-Nov-21
BLISSGVS,10-May-21,05-Nov-21
BLUEDART,10-May-21,05-Nov-21
BLUESTARCO,10-May-21,05-Nov-21
BBTC,10-May-21,05-Nov-21
BOSCHLTD,10-May-21,05-Nov-21
BRIGADE,10-May-21,05-Nov-21
BRITANNIA,10-May-21,05-Nov-21
BURGERKING,10-May-21,05-Nov-21
CCL,10-May-21,05-Nov-21
CESC,10-May-21,05-Nov-21
CRISIL,10-May-21,05-Nov-21
CSBBANK,10-May-21,05-Nov-21
CADILAHC,10-May-21,05-Nov-21
CANFINHOME,10-May-21,05-Nov-21
CANBK,10-May-21,05-Nov-21
CAPLIPOINT,10-May-21,05-Nov-21
CGCL,10-May-21,05-Nov-21
CARBORUNIV,10-May-21,05-Nov-21
CASTROLIND,10-May-21,05-Nov-21
CEATLTD,10-May-21,05-Nov-21
CENTRALBK,10-May-21,05-Nov-21
CDSL,10-May-21,05-Nov-21
CENTURYPLY,10-May-21,05-Nov-21
CENTURYTEX,10-May-21,05-Nov-21
CERA,10-May-21,05-Nov-21
CHALET,10-May-21,05-Nov-21
CHAMBLFERT,10-May-21,05-Nov-21
CHOLAHLDNG,10-May-21,05-Nov-21
CHOLAFIN,10-May-21,05-Nov-21
CIPLA,10-May-21,05-Nov-21
CUB,10-May-21,05-Nov-21
COALINDIA,10-May-21,05-Nov-21
COCHINSHIP,10-May-21,05-Nov-21
COFORGE,10-May-21,05-Nov-21
COLPAL,10-May-21,05-Nov-21
CAMS,10-May-21,05-Nov-21
CONCOR,10-May-21,05-Nov-21
COROMANDEL,10-May-21,05-Nov-21
CREDITACC,10-May-21,05-Nov-21
CROMPTON,10-May-21,05-Nov-21
CUMMINSIND,10-May-21,05-Nov-21
CYIENT,10-May-21,05-Nov-21
DCBBANK,10-May-21,05-Nov-21
DCMSHRIRAM,10-May-21,05-Nov-21
DLF,10-May-21,05-Nov-21
DABUR,10-May-21,05-Nov-21
DALBHARAT,10-May-21,05-Nov-21
DEEPAKNTR,10-May-21,05-Nov-21
DELTACORP,10-May-21,05-Nov-21
DHANI,10-May-21,05-Nov-21
DHANUKA,10-May-21,05-Nov-21
DBL,10-May-21,05-Nov-21
DISHTV,10-May-21,05-Nov-21
DCAL,10-May-21,05-Nov-21
DIVISLAB,10-May-21,05-Nov-21
DIXON,10-May-21,05-Nov-21
LALPATHLAB,10-May-21,05-Nov-21
DRREDDY,10-May-21,05-Nov-21
EIDPARRY,10-May-21,05-Nov-21
EIHOTEL,10-May-21,05-Nov-21
EPL,10-May-21,05-Nov-21
EDELWEISS,10-May-21,05-Nov-21
EICHERMOT,10-May-21,05-Nov-21
ELGIEQUIP,10-May-21,05-Nov-21
EMAMILTD,10-May-21,05-Nov-21
ENDURANCE,10-May-21,05-Nov-21
ENGINERSIN,10-May-21,05-Nov-21
EQUITAS,10-May-21,05-Nov-21
ERIS,10-May-21,05-Nov-21
ESCORTS,10-May-21,05-Nov-21
EXIDEIND,10-May-21,05-Nov-21
FDC,10-May-21,05-Nov-21
FEDERALBNK,10-May-21,05-Nov-21
FINEORG,10-May-21,05-Nov-21
FINCABLES,10-May-21,05-Nov-21
FINPIPE,10-May-21,05-Nov-21
FSL,10-May-21,05-Nov-21
FORTIS,10-May-21,05-Nov-21
FCONSUMER,10-May-21,05-Nov-21
FRETAIL,10-May-21,05-Nov-21
GAIL,10-May-21,05-Nov-21
GEPIL,10-May-21,05-Nov-21
GMMPFAUDLR,10-May-21,05-Nov-21
GMRINFRA,10-May-21,05-Nov-21
GALAXYSURF,10-May-21,05-Nov-21
GRSE,10-May-21,05-Nov-21
GARFIBRES,10-May-21,05-Nov-21
GICRE,10-May-21,05-Nov-21
GILLETTE,10-May-21,05-Nov-21
GLAND,10-May-21,05-Nov-21
GLAXO,10-May-21,05-Nov-21
GLENMARK,10-May-21,05-Nov-21
GODFRYPHLP,10-May-21,05-Nov-21
GODREJAGRO,10-May-21,05-Nov-21
GODREJCP,10-May-21,05-Nov-21
GODREJIND,10-May-21,05-Nov-21
GODREJPROP,10-May-21,05-Nov-21
GRANULES,10-May-21,05-Nov-21
GRAPHITE,10-May-21,05-Nov-21
GRASIM,10-May-21,05-Nov-21
GESHIP,10-May-21,05-Nov-21
GREAVESCOT,10-May-21,05-Nov-21
GRINDWELL,10-May-21,05-Nov-21
GUJALKALI,10-May-21,05-Nov-21
GAEL,10-May-21,05-Nov-21
FLUOROCHEM,10-May-21,05-Nov-21
GUJGASLTD,10-May-21,05-Nov-21
GNFC,10-May-21,05-Nov-21
GPPL,10-May-21,05-Nov-21
GSFC,10-May-21,05-Nov-21
GSPL,10-May-21,05-Nov-21
GULFOILLUB,10-May-21,05-Nov-21
HEG,10-May-21,05-Nov-21
HCLTECH,10-May-21,05-Nov-21
HDFCAMC,10-May-21,05-Nov-21
HDFCBANK,10-May-21,05-Nov-21
HDFCLIFE,10-May-21,05-Nov-21
HFCL,10-May-21,05-Nov-21
HAPPSTMNDS,10-May-21,05-Nov-21
HATSUN,10-May-21,05-Nov-21
HAVELLS,10-May-21,05-Nov-21
HEIDELBERG,10-May-21,05-Nov-21
HEMIPROP,10-May-21,05-Nov-21
HEROMOTOCO,10-May-21,05-Nov-21
HSCL,10-May-21,05-Nov-21
HINDALCO,10-May-21,05-Nov-21
HAL,10-May-21,05-Nov-21
HINDCOPPER,10-May-21,05-Nov-21
HINDPETRO,10-May-21,05-Nov-21
HINDUNILVR,10-May-21,05-Nov-21
HINDZINC,10-May-21,05-Nov-21
HONAUT,10-May-21,05-Nov-21
HUDCO,10-May-21,05-Nov-21
HDFC,10-May-21,05-Nov-21
HUHTAMAKI,10-May-21,05-Nov-21
ICICIBANK,10-May-21,05-Nov-21
ICICIGI,10-May-21,05-Nov-21
ICICIPRULI,10-May-21,05-Nov-21
ISEC,10-May-21,05-Nov-21
IDBI,10-May-21,05-Nov-21
IDFCFIRSTB,10-May-21,05-Nov-21
IDFC,10-May-21,05-Nov-21
IFBIND,10-May-21,05-Nov-21
IIFL,10-May-21,05-Nov-21
IIFLWAM,10-May-21,05-Nov-21
IOLCP,10-May-21,05-Nov-21
IRB,10-May-21,05-Nov-21
IRCON,10-May-21,05-Nov-21
ITC,10-May-21,05-Nov-21
ITI,10-May-21,05-Nov-21
INDIACEM,10-May-21,05-Nov-21
IBULHSGFIN,10-May-21,05-Nov-21
IBREALEST,10-May-21,05-Nov-21
INDIAMART,10-May-21,05-Nov-21
INDIANB,10-May-21,05-Nov-21
IEX,10-May-21,05-Nov-21
INDHOTEL,10-May-21,05-Nov-21
IOC,10-May-21,05-Nov-21
IOB,10-May-21,05-Nov-21
IRCTC,10-May-21,05-Nov-21
ICIL,10-May-21,05-Nov-21
INDOCO,10-May-21,05-Nov-21
IGL,10-May-21,05-Nov-21
INDUSTOWER,10-May-21,05-Nov-21
INDUSINDBK,10-May-21,05-Nov-21
INFIBEAM,10-May-21,05-Nov-21
NAUKRI,10-May-21,05-Nov-21
INFY,10-May-21,05-Nov-21
INGERRAND,10-May-21,05-Nov-21
INOXLEISUR,10-May-21,05-Nov-21
INTELLECT,10-May-21,05-Nov-21
INDIGO,10-May-21,05-Nov-21
IPCALAB,10-May-21,05-Nov-21
JBCHEPHARM,10-May-21,05-Nov-21
JKCEMENT,10-May-21,05-Nov-21
JKLAKSHMI,10-May-21,05-Nov-21
JKPAPER,10-May-21,05-Nov-21
JKTYRE,10-May-21,05-Nov-21
JMFINANCIL,10-May-21,05-Nov-21
JSWENERGY,10-May-21,05-Nov-21
JSWSTEEL,10-May-21,05-Nov-21
JTEKTINDIA,10-May-21,05-Nov-21
JAMNAAUTO,10-May-21,05-Nov-21
JINDALSAW,10-May-21,05-Nov-21
JSLHISAR,10-May-21,05-Nov-21
JSL,10-May-21,05-Nov-21
JINDALSTEL,10-May-21,05-Nov-21
JCHAC,10-May-21,05-Nov-21
JUBLFOOD,10-May-21,05-Nov-21
JUSTDIAL,10-May-21,05-Nov-21
JYOTHYLAB,10-May-21,05-Nov-21
KPRMILL,10-May-21,05-Nov-21
KEI,10-May-21,05-Nov-21
KNRCON,10-May-21,05-Nov-21
KPITTECH,10-May-21,05-Nov-21
KRBL,10-May-21,05-Nov-21
KSB,10-May-21,05-Nov-21
KAJARIACER,10-May-21,05-Nov-21
KALPATPOWR,10-May-21,05-Nov-21
KANSAINER,10-May-21,05-Nov-21
KARURVYSYA,10-May-21,05-Nov-21
KSCL,10-May-21,05-Nov-21
KEC,10-May-21,05-Nov-21
KOTAKBANK,10-May-21,05-Nov-21
L&TFH,10-May-21,05-Nov-21
LTTS,10-May-21,05-Nov-21
LICHSGFIN,10-May-21,05-Nov-21
LAOPALA,10-May-21,05-Nov-21
LAXMIMACH,10-May-21,05-Nov-21
LTI,10-May-21,05-Nov-21
LT,10-May-21,05-Nov-21
LAURUSLABS,10-May-21,05-Nov-21
LEMONTREE,10-May-21,05-Nov-21
LINDEINDIA,10-May-21,05-Nov-21
LUPIN,10-May-21,05-Nov-21
LUXIND,10-May-21,05-Nov-21
MASFIN,10-May-21,05-Nov-21
MMTC,10-May-21,05-Nov-21
MOIL,10-May-21,05-Nov-21
MRF,10-May-21,05-Nov-21
MGL,10-May-21,05-Nov-21
MAHSCOOTER,10-May-21,05-Nov-21
MAHSEAMLES,10-May-21,05-Nov-21
M&MFIN,10-May-21,05-Nov-21
M&M,10-May-21,05-Nov-21
MAHINDCIE,10-May-21,05-Nov-21
MHRIL,10-May-21,05-Nov-21
MAHLOG,10-May-21,05-Nov-21
MANAPPURAM,10-May-21,05-Nov-21
MRPL,10-May-21,05-Nov-21
MARICO,10-May-21,05-Nov-21
MARUTI,10-May-21,05-Nov-21
MFSL,10-May-21,05-Nov-21
MAXHEALTH,10-May-21,05-Nov-21
MAZDOCK,10-May-21,05-Nov-21
METROPOLIS,10-May-21,05-Nov-21
MINDTREE,10-May-21,05-Nov-21
MINDACORP,10-May-21,05-Nov-21
MINDAIND,10-May-21,05-Nov-21
MIDHANI,10-May-21,05-Nov-21
MOTILALOFS,10-May-21,05-Nov-21
MPHASIS,10-May-21,05-Nov-21
MCX,10-May-21,05-Nov-21
MUTHOOTFIN,10-May-21,05-Nov-21
NATCOPHARM,10-May-21,05-Nov-21
NBCC,10-May-21,05-Nov-21
NCC,10-May-21,05-Nov-21
NESCO,10-May-21,05-Nov-21
NHPC,10-May-21,05-Nov-21
NLCINDIA,10-May-21,05-Nov-21
NMDC,10-May-21,05-Nov-21
NOCIL,10-May-21,05-Nov-21
NTPC,10-May-21,05-Nov-21
NH,10-May-21,05-Nov-21
NATIONALUM,10-May-21,05-Nov-21
NFL,10-May-21,05-Nov-21
NAVINFLUOR,10-May-21,05-Nov-21
NESTLEIND,10-May-21,05-Nov-21
NETWORK18,10-May-21,05-Nov-21
NILKAMAL,10-May-21,05-Nov-21
NAM-INDIA,10-May-21,05-Nov-21
OBEROIRLTY,10-May-21,05-Nov-21
ONGC,10-May-21,05-Nov-21
OIL,10-May-21,05-Nov-21
OFSS,10-May-21,05-Nov-21
ORIENTELEC,10-May-21,05-Nov-21
ORIENTREF,10-May-21,05-Nov-21
PIIND,10-May-21,05-Nov-21
